dish_id	dish_name	quantity
8	school snack	10
7	consumable supplies	5
11	Tim snacks	7
12	home lunch	11
6	oatmeal	5
9	home snack	5
33	beverages	5
32	ice cream	3
21	peas	2.5
13	boiled potatoes	1
17	rice	1.5
31	baked beans	1.5
34	steak	1
35	corn on the cob	1
36	cheese quesadillas	1
37	Mexican dip	1
38	burgers and franks	1
1	macaroni and cheese	0
2	chicken fricassee	0
3	salmon	0
4	pasta with meatballs	0
5	chickpea stew	0
10	hot chocolate	0
14	succotash	0
15	cornbread	0
16	biscuits	0
18	coconut lentil curry	0
19	fish sticks	0
20	sweet potato fries	0
22	corn	0
23	saag paneer	0
24	chicken tikka masala	0
25	veggie chili	0
26	hamburgers	0
27	hot dogs	0
28	veggie burgers	0
29	butternut squash soup	0
30	grilled cheese sandwiches	0
